Boyen : codegen : 321.52222 : 0.750068191296
Boyen : batcher : 342.23438 : 4.51085329573
HESS : codegen : 166.37198 : 0.381690607171
HESS : batcher : 94.93187 : 4.93187407109
CL : codegen : 152.17631 : 0.392952941074
CL : batcher : 167.1949 : 6.10907476873
WATERS : codegen : 290.90034 : 0.643007794981
WATERS : batcher : 1176.57537 : 6.35967182275
CHCH : codegen : 160.56101 : 0.418715046181
CHCH : batcher : 93.8617 : 4.61154973192
Waters09 : codegen : 360.67323 : 0.6444881047
Waters09 : batcher : 630.55694 : 19.1788046258
BLS : codegen : 124.58645 : 0.863354207437
BLS : batcher : 81.1279 : 3.31899799488
CHP : codegen : 171.32664 : 0.510524759827
CHP : batcher : 119.60908 : 7.61945987151
ChCh_Hess : codegen : 162.65923 : 0.369591256797
ChCh_Hess : batcher : 224.16413 : 6.64658315777
CYH : codegen : 241.88075 : 0.607537675781
CYH : batcher : 117.38642 : 5.40727917012
BBS : codegen : 314.44525 : 0.687082213057
BBS : batcher : 293.61197 : 10.7856250245
HW_Different : codegen : 241.47437 : 0.592858105367
HW_Different : batcher : 178.70104 : 9.41706767409
VRF : codegen : 251.18581 : 0.547402277946
VRF : batcher : 279.78721 : 12.4549589805
